SC_CODE,SC_NAME,OPEN,HIGH,LOW,CLOSE
532684,EVEREST KANT,108.1,110.1,103.55,104.3
532686,KERNEX MICRO,55.35,55.35,53.35,55.25
532687,REPRO INDIA ,358.0,364.8,351.1,353.1
532689,PVR LTD     ,1225.0,1256.55,1212.0,1247.4
532690,RAMSARUP IND,0.75,0.76,0.75,0.76
532692,RADHA MADHAV,2.15,2.25,2.13,2.19
532693,PUNJ LLOYD  ,1.69,1.69,1.59,1.61
532694,BARTRONICSIN,2.94,2.94,2.8,2.9
532695,CELEBRITYFAS,6.24,6.25,6.11,6.25
532696,EDUCOMP SOLN,3.09,3.09,2.88,3.0
532698,NITINSPINNER,121.0,121.5,116.2,116.8
532699,ROYALORCH   ,66.3,76.7,66.3,74.05
532700,ENT NETWORK ,155.0,158.7,155.0,157.15
532701,CELLA       ,6.0,6.14,5.7,6.11
532702,GUJ PETRONET,271.65,272.75,269.35,271.5
532705,JAGRAN PRAK ,54.95,54.95,54.3,54.4
532706,INOX LEISURE,295.65,300.9,292.0,296.35
532707,DYNEMIC PRO ,510.0,527.95,498.0,501.95
532710,SADBHAV ENGG,70.3,72.4,70.2,70.6
532712,REL COM LTD ,1.72,1.76,1.7,1.75
532713,SAKUMA EXPO ,6.5,6.69,6.44,6.55
532714,KEC INTERN  ,400.0,412.45,398.1,407.5
532716,GILLA ARBUT ,40.15,42.9,40.05,42.85
532717,INDOTECHTR  ,122.0,123.0,113.2,116.7
532719,BL KASHYAP  ,17.45,17.45,16.9,16.95
532720,M&M FINANSER,161.4,162.5,159.2,160.25
532721,VISA STEEL  ,8.65,9.55,8.65,9.55
532722,NITCO TILES ,22.9,22.9,22.2,22.65
532723,MPDL        ,9.62,9.62,9.62,9.62
532725,SOLAR IND   ,1289.55,1289.55,1217.0,1275.95
532726,GALLAN METAL,63.1,63.4,61.5,62.05
532728,MALU PAPER  ,29.0,29.8,28.05,28.1
532729,UTTAM SUGAR ,148.1,148.15,143.0,146.1
532730,STL GLOBAL  ,11.0,11.19,10.2,10.33
532731,ROHIT FERRO ,3.6,3.6,3.5,3.6
532732,KEWAL KIRAN ,890.0,909.0,865.25,889.25
532733,SUN TVNET   ,523.5,531.6,523.1,524.45
532734,GODAWARI POW,886.0,915.4,866.25,880.7
532735,RSYSTEMINT  ,131.0,138.05,131.0,136.35
532737,EMKAY GLOB F,80.1,86.05,76.6,77.8
532738,TANTIA CONS ,9.98,9.98,9.45,9.45
532740,LOKESH MACH ,44.0,44.0,42.7,43.75
532741,KAMDHENU    ,153.15,153.15,150.85,151.35
532742,PAUSHAK LTD ,6981.7,7000.0,6873.75,6948.6
532744,GTN TEXTILE ,6.0,6.0,5.66,5.66
532745,INDICAP     ,34.0,34.0,30.55,32.45
532748,PRIME FOCUS ,61.1,63.0,60.2,61.95
532749,ALLCARGO    ,135.95,139.0,133.25,133.5
532751,EASUNREYRL  ,2.6,2.6,2.6,2.6
532754,GMR INFRASTR,26.15,26.7,25.9,26.4
532755,TECH MAH    ,972.95,985.55,972.0,980.65
532756,MAHINDCIE   ,191.95,191.95,185.8,187.95
532757,VOLTAMP TRAN,1166.2,1179.0,1161.65,1168.1
532759,ATLANTA     ,9.1,9.11,8.56,8.6
532760,DEEPENR     ,40.45,44.0,40.45,41.85
532761,HOV SERVICES,53.55,56.75,52.6,55.35
532762,ACTION CONST,159.95,163.0,156.6,158.95
532764,GEECEE      ,105.55,112.0,105.55,109.85
532766,RICHA IND   ,0.81,0.81,0.75,0.81
532767,GAYATRI PROJ,34.05,36.0,33.0,35.3
532768,FIEM INDS   ,586.85,594.0,580.25,581.95
532771,JHS SVEN    ,22.0,22.0,21.0,21.5
532772,DCBBANK     ,105.0,105.0,101.75,102.95
532773,GLOBAL VECT ,43.45,45.25,43.15,43.3
532774,INSPIRISYS  ,46.25,47.5,45.45,46.3
532775,GTL INFRAST ,0.73,0.76,0.73,0.75
532776,SHIVAM AUTO ,24.8,25.55,24.5,25.55
532777,INFO EDGE   ,4464.9,4496.35,4315.0,4336.35
532779,TORNT POWER ,445.0,465.4,426.1,450.5
532780,PARSVNATH   ,8.91,8.96,8.75,8.86
532782,SUTLEJ TEXT ,48.0,50.55,47.65,49.85
532783,DAAWAT      ,87.15,89.45,86.55,87.6
532784,SOBHA       ,459.95,465.0,450.0,452.75
532785,RUCHIRA PAP ,68.25,68.9,66.6,66.85
532790,TANLA       ,889.9,889.9,860.0,864.9
532794,ZEEMEDIA    ,10.32,10.72,9.81,9.81
532795,SITINET     ,1.17,1.17,1.1,1.11
532796,LUMAX TECH  ,132.7,153.5,132.7,145.3
532797,AUTOIND     ,35.1,35.35,35.1,35.3
532798,NTWK MED INV,42.25,42.7,40.4,40.65
532799,HUBTOWN     ,15.9,16.85,15.75,16.85
532800,TV18BRDCST  ,40.1,41.7,39.65,40.55
532801,CAMBRIDGE   ,32.55,32.6,31.8,32.4
532804,TECHNOCRAFT ,409.25,410.0,400.55,406.0
532805,REDINGTON   ,189.15,189.15,183.35,183.55
532806,AI CHAMPDNY ,12.99,13.15,12.01,12.7
532807,CINELINE    ,35.5,36.95,34.9,36.1
532808,PGIL        ,231.8,237.4,209.1,225.0
532809,FSL         ,141.5,143.4,137.0,138.6
532810,POWER FINAN ,117.5,120.15,117.5,118.85
532811,AHLUWALIA CO,295.4,298.65,294.15,296.6
532812,TRANSWARRANT,3.48,3.48,3.48,3.48
532813,C & C CONSTR,4.4,4.79,4.4,4.62
532814,INDIAN BANK ,127.15,143.0,127.15,140.55
532815,SMS PHARMACE,151.9,153.5,150.9,153.15
532817,ORIENTAL    ,8.71,8.76,8.5,8.57
532819,MINDTREE LTD,2124.0,2134.5,2078.3,2123.25
532820,ELAND       ,4.2,4.2,3.92,3.96
532822,IDEA        ,8.45,8.69,8.42,8.57
532825,JAGJANANI   ,0.57,0.57,0.57,0.57
532826,RAJ TELE    ,36.2,36.2,35.8,35.8
532827,PAGE INDUSTR,29932.45,30000.0,29167.35,29282.6
532828,AMD INDUS   ,19.5,19.95,19.4,19.5
532829,LEHAR       ,25.0,26.3,25.0,26.0
532830,ASTRAL      ,1788.9,1793.95,1743.35,1752.25
532832,INDBUL REAL ,92.9,96.35,90.1,92.0
532834,CAMLINFINE  ,166.8,168.5,161.6,162.95
532835,ICRA        ,3224.0,3238.0,3150.0,3158.7
532839,DISH TV     ,12.84,13.6,12.64,12.8
532841,SAHYA INDU  ,414.0,419.0,403.0,407.8
532842,SREE RAYALA ,305.0,309.0,295.0,301.0
532843,FORTIS      ,223.0,229.9,221.8,227.55
532845,TGBHOTELS   ,5.8,5.95,5.42,5.9
532847,HILTON MET  ,11.09,11.99,11.08,11.35
532848,DELTA CORP  ,159.0,167.0,159.0,163.05
532850,MIC ELECTRON,1.02,1.06,1.02,1.02
532851,INSECTCID   ,553.7,569.45,540.5,558.55
