SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532663,SASKEN      ,A ,Q,905.00,991.90,905.00,971.75,972.00,905.30,826,5757,5502361.00,
532666,FCS SOFTWARE,B ,Q,0.69,0.71,0.68,0.71,0.71,0.68,126,2057342,1459073.00,
532667,SUZLONENERGY,A ,Q,5.10,5.12,4.96,5.01,5.01,5.07,3417,5323591,26723999.00,
532668,AURIONPRO SO,B ,Q,163.70,164.25,158.75,159.20,160.10,161.70,584,4340,695542.00,
532670,RENUKA SUGAR,B ,Q,12.03,12.11,11.43,11.65,11.65,12.03,1796,1608052,18582747.00,
532673,KM SUGARMILL,B ,Q,18.45,18.95,17.30,17.95,17.80,18.45,1237,262383,4683219.00,
532674,BANNARI AMMA,B ,Q,63.05,63.10,61.70,62.25,62.20,63.50,106,6309,395445.00,
532678,BOMBAY RAYON,B ,Q,7.25,7.36,6.80,7.23,7.19,7.28,114,19378,139434.00,
532679,SORILINFRA  ,B ,Q,122.65,124.10,120.00,122.45,122.50,122.10,152,3980,489006.00,
532683,AIAENGINEER ,A ,Q,1871.75,1872.60,1833.80,1841.30,1852.05,1874.60,180,837,1548852.00,
532684,EVEREST KANT,B ,Q,109.00,119.45,108.20,119.45,119.45,113.80,4042,425956,49081372.00,
532686,KERNEX MICRO,T ,Q,41.05,42.65,39.00,39.70,42.20,41.05,25,1425,56689.00,
532687,REPRO INDIA ,B ,Q,346.20,346.50,338.00,344.45,344.40,344.35,32,241,82589.00,
532689,PVR LTD     ,A ,Q,1115.10,1146.95,1098.15,1138.95,1138.95,1111.45,3302,69488,78094710.00,
532690,RAMSARUP IND,Z ,Q,0.58,0.60,0.58,0.58,0.58,0.58,5,1813,1051.00,
532692,RADHA MADHAV,T ,Q,2.09,2.09,2.03,2.07,2.07,2.12,29,16225,33619.00,
532693,PUNJ LLOYD  ,Z ,Q,1.33,1.39,1.32,1.39,1.39,1.34,54,48819,66309.00,
532694,BARTRONICSIN,Z ,Q,2.18,2.25,2.18,2.18,2.18,2.29,19,15781,34543.00,
532695,CELEBRITYFAS,B ,Q,5.55,5.70,5.53,5.66,5.66,5.44,16,10559,60135.00,
532696,EDUCOMP SOLN,Z ,Q,2.91,2.91,2.81,2.91,2.91,2.78,43,24877,72250.00,
532698,NITINSPINNER,B ,Q,99.75,104.60,97.00,98.55,97.85,96.55,1895,138909,14088490.00,
532699,ROYALORCH   ,B ,Q,63.85,63.85,60.90,61.30,60.90,61.20,229,2552,155997.00,
532700,ENT NETWORK ,B ,Q,148.00,149.50,147.00,148.20,149.20,147.60,245,2164,320563.00,
532701,CELLA       ,Z ,Q,5.91,5.91,5.40,5.91,5.91,5.66,20,18282,104095.00,
532702,GUJ PETRONET,A ,Q,273.95,274.95,268.85,271.55,273.00,271.30,909,39194,10666776.00,
532705,JAGRAN PRAK ,A ,Q,56.80,57.25,54.10,54.70,55.00,56.65,466,46247,2582680.00,
532706,INOX LEISURE,A ,Q,266.70,273.40,264.50,272.50,273.40,268.65,888,19268,5200455.00,
532707,DYNEMIC PRO ,B ,Q,506.15,540.00,495.05,520.10,520.10,502.70,1234,22742,11850336.00,
